YYYY-MM,Year,Month,CPI ,WPI,LTIR,CLI,Share-Prices
2016-01,2016,1,5.905512,108,7.668,,90.52799
2016-02,2016,2,5.533597,107.1,7.72,99.7868,86.58983
2016-03,2016,3,5.511811,107.7,7.585,99.73688,90.83797
2016-04,2016,4,5.859375,109,7.436,99.68189,93.12807
2016-05,2016,5,6.589147,110.4,7.28,99.61791,93.9203
2016-06,2016,6,6.130268,111.7,7.5025,99.54352,97.66355
2016-07,2016,7,6.463878,111.8,7.352,99.45808,101.208
2016-08,2016,8,5.30303,111.2,7.1425,99.36304,102.3991
2016-09,2016,9,4.135338,111.4,6.864,99.26246,104.1679
2016-10,2016,10,3.345725,111.5,6.7825,99.16283,102.387
2016-11,2016,11,2.592592,111.9,6.6125,99.07349,97.68158
2016-12,2016,12,2.230483,111.7,6.526,99.00628,96.40318
2017-01,2017,1,1.858736,112.6,6.7925,98.96983,99.39032
2017-02,2017,2,2.621723,113,6.98,98.9683,104.1023
2017-03,2017,3,2.61194,113.2,7.118,99.0016,106.9398
2017-04,2017,4,2.214022,113.2,7.165,99.06678,108.546
2017-05,2017,5,1.090909,112.9,7.115,99.16096,111.1173
2017-06,2017,6,1.083032,112.7,6.584,99.28088,113.8447
2017-07,2017,7,1.785714,113.9,6.55,99.42278,116.5322
2017-08,2017,8,2.517986,114.8,6.6,99.58138,116.0603
2017-09,2017,9,2.888087,114.9,6.724,99.75131,116.5597
2017-10,2017,10,3.23741,115.6,6.945,99.92765,118.2395
2017-11,2017,11,3.971119,116.4,7.1675,100.1052,122.0721
2017-12,2017,12,4,115.7,7.35,100.2776,122.2688
2018-01,2018,1,5.109489,116,7.2175,100.4395,128.0683
2018-02,2018,2,4.744525,116.1,7.57,100.5855,125.3347
2018-03,2018,3,4.363636,116.3,7.608,100.7115,121.8119
2018-04,2018,4,3.971119,117.3,7.5475,100.8138,124.8156
2018-05,2018,5,3.956835,118.3,7.8475,100.8893,128.2421
2018-06,2018,6,3.928571,119.1,7.936,100.9362,129.4194
2018-07,2018,7,5.614035,119.9,7.8,100.9541,133.0793
2018-08,2018,8,5.614035,120.1,7.826,100.9436,139.1318
2018-09,2018,9,5.614035,120.9,8.02,100.9061,136.7103
2018-10,2018,10,5.226481,122,7.925,100.844,126.5401
2018-11,2018,11,4.861111,121.6,7.782,100.7601,128.9682
2018-12,2018,12,5.244755,119.7,7.3725,100.657,131.0445
2019-01,2019,1,6.597222,119.2,7.3475,100.5371,131.7876
2019-02,2019,2,6.968641,119.5,7.43,100.4023,132.0995
2019-03,2019,3,7.665505,119.9,7.346,100.255,137.4276
2019-04,2019,4,8.333333,121.1,7.4225,100.0973,142.2029
2019-05,2019,5,8.650519,121.6,7.33,99.92998,141.0776
2019-06,2019,6,8.591065,121.5,6.97,99.75492,144.6276
2019-07,2019,7,5.980066,121.3,6.6,99.57487,141.2805
2019-08,2019,8,6.312293,121.5,6.62,99.39245,135.8939
2019-09,2019,9,6.976744,121.3,6.82,99.2103,137.1351
2019-10,2019,10,7.615894,122.2,6.54,99.02952,141.4126
2019-11,2019,11,8.609271,122.3,6.64,98.84957,148.0616
,,,,,,,150.1374
