Year,Month,Time,Value
2016,1,2016-01,108
2016,2,2016-02,107.1
2016,3,2016-03,107.7
2016,4,2016-04,109
2016,5,2016-05,110.4
2016,6,2016-06,111.7
2016,7,2016-07,111.8
2016,8,2016-08,111.2
2016,9,2016-09,111.4
2016,10,2016-10,111.5
2016,11,2016-11,111.9
2016,12,2016-12,111.7
2017,1,2017-01,112.6
2017,2,2017-02,113
2017,3,2017-03,113.2
2017,4,2017-04,113.2
2017,5,2017-05,112.9
2017,6,2017-06,112.7
2017,7,2017-07,113.9
2017,8,2017-08,114.8
2017,9,2017-09,114.9
2017,10,2017-10,115.6
2017,11,2017-11,116.4
2017,12,2017-12,115.7
2018,1,2018-01,116
2018,2,2018-02,116.1
2018,3,2018-03,116.3
2018,4,2018-04,117.3
2018,5,2018-05,118.3
2018,6,2018-06,119.1
2018,7,2018-07,119.9
2018,8,2018-08,120.1
2018,9,2018-09,120.9
2018,10,2018-10,122
2018,11,2018-11,121.6
2018,12,2018-12,119.7
2019,1,2019-01,119.2
2019,2,2019-02,119.5
2019,3,2019-03,119.9
2019,4,2019-04,121.1
2019,5,2019-05,121.6
2019,6,2019-06,121.5
2019,7,2019-07,121.3
2019,8,2019-08,121.5
2019,9,2019-09,121.3
2019,10,2019-10,122.2
2019,11,2019-11,122.3
